split,features,model,fold,balanced_accuracy,auc
temporal,how,gradient boosting,0,0.8334220557381518,0.9211058591419641
temporal,how,gradient boosting,1,0.87139087452429,0.9511610032068701
temporal,how,gradient boosting,2,0.865508429646021,0.9444312295722039
temporal,how,gradient boosting,3,0.8798019023275248,0.9561948254635723
temporal,how,gradient boosting,4,0.8745659991233434,0.9512041465300869
spatial,all,logistic regression,0,0.7879279919710922,0.8916700576986987
spatial,all,logistic regression,1,0.843671682979599,0.904963660902534
spatial,all,logistic regression,2,0.8675241237276985,0.9282712898715054
spatial,all,logistic regression,3,0.8711506667635623,0.9522610290777951
spatial,all,logistic regression,4,0.7091058157234957,0.8709153664487821
spatial,all,random forest,0,0.666429046903831,0.9294559728532622
spatial,all,random forest,1,0.9146478838022583,0.9806980877426534
spatial,all,random forest,2,0.8840917280159205,0.9742968664773572
spatial,all,random forest,3,0.9086623623778205,0.9934422236655645
spatial,all,random forest,4,0.8560216690544412,0.9661239143087393
spatial,all,gradient boosting,0,0.6875850439481052,0.9321828246455258
spatial,all,gradient boosting,1,0.9291546388967445,0.9795214643242263
spatial,all,gradient boosting,2,0.8172647874566533,0.9577815757199102
spatial,all,gradient boosting,3,0.9687386450347008,0.995235598497511
spatial,all,gradient boosting,4,0.9043578751790831,0.9768314044591689
spatial,where,logistic regression,0,0.5244935646297703,0.420667341902826
spatial,where,logistic regression,1,0.3921822513226236,0.3849363462250334
spatial,where,logistic regression,2,0.4603359305527549,0.5548774722895311
spatial,where,logistic regression,3,0.6216712919225319,0.670158129246757
spatial,where,logistic regression,4,0.4423732987106017,0.5113365195200572
spatial,where,random forest,0,0.540766970588944,0.6253772626269326
spatial,where,random forest,1,0.7861531484304407,0.8483089127930636
spatial,where,random forest,2,0.7219873852490719,0.7898510097420521
spatial,where,random forest,3,0.8291270756876568,0.9718143502915954
spatial,where,random forest,4,0.6204596839183382,0.7941076065544412
spatial,where,gradient boosting,0,0.5291074308650251,0.6588196040264669
spatial,where,gradient boosting,1,0.8239450625501517,0.8038762182966954
spatial,where,gradient boosting,2,0.6879566483638179,0.9211182203151704
spatial,where,gradient boosting,3,0.8822035899858289,0.9643758544611387
spatial,where,gradient boosting,4,0.7554625940186246,0.8718280606420129
spatial,when,logistic regression,0,0.7931058751156334,0.8679064312778892
spatial,when,logistic regression,1,0.8238681106888219,0.8851844459236062
spatial,when,logistic regression,2,0.8469339147049781,0.8863190612985656
spatial,when,logistic regression,3,0.7940538588714072,0.8808512845872243
spatial,when,logistic regression,4,0.8600868553008596,0.9200366001074498
spatial,when,random forest,0,0.7815097006618041,0.8574612275502953
spatial,when,random forest,1,0.8134855729989354,0.8677359167316194
spatial,when,random forest,2,0.8343890804388716,0.8718505271022106
spatial,when,random forest,3,0.7880794438792196,0.8409905305266888
spatial,when,random forest,4,0.8590448155444126,0.896352301217765
spatial,when,gradient boosting,0,0.8143854674393269,0.874494851736819
spatial,when,gradient boosting,1,0.8289110082978679,0.8850742272912255
spatial,when,gradient boosting,2,0.8462094590797447,0.8852317167102476
spatial,when,gradient boosting,3,0.786721957777697,0.8548354977789687
spatial,when,gradient boosting,4,0.8622845406518624,0.9143377003492119
spatial,how,logistic regression,0,0.5767722226457574,0.707105589971918
spatial,how,logistic regression,1,0.6044567270440598,0.6551315036178154
spatial,how,logistic regression,2,0.684946264995719,0.7963294578896738
spatial,how,logistic regression,3,0.763996130227826,0.858048456178918
spatial,how,logistic regression,4,0.5177387401504299,0.5331626913950573
spatial,how,random forest,0,0.699041204256958,0.8376993489548528
spatial,how,random forest,1,0.7314567569338585,0.8534891885149598
spatial,how,random forest,2,0.8213807796947468,0.8947545974750664
spatial,how,random forest,3,0.8496398205007085,0.9402659985783584
spatial,how,random forest,4,0.6274741448782235,0.7360112318678367
spatial,how,gradient boosting,0,0.663670759997109,0.8115714884006903
spatial,how,gradient boosting,1,0.7266047660433494,0.8396040119007382
spatial,how,gradient boosting,2,0.7970919296668133,0.880237055500276
spatial,how,gradient boosting,3,0.8383501462519531,0.9340354581501398
spatial,how,gradient boosting,4,0.6686128895057306,0.8085780802292264
